"direction","line_name","org_name","org_lat","org_long","dest_name","dest_lat","dest_long","vech_name","vech_lat","vech_long","next_point_name","arrivial_app","dist_from_stop","weekend_status","day_of_year","time_of_day","delay_mins"
0,"Bx6","RIVERSIDE DR/157-10 RIVERSIDE DR",40.836311,-73.948433,"HUNTS POINT",40.810085,-73.876396,"NYCT_7805",40.832089,-73.944221,"W 155 ST/AMSTERDAM AV","< 1 stop away",154,FALSE,158,634,11.35
0,"Q27","SPRINGFIELD BL/JAMAICA AV",40.718987,-73.735286,"FLUSHING  MAIN ST STA",40.761747,-73.829532,"NYCT_6855",40.752705,-73.759213,"56 AV /223 ST","< 1 stop away",287,FALSE,354,700,-1.3
1,"Shuttle-M2","METROPOLITAN AV/RENTAR PLZ",40.712353,-73.889885,"SHUTTLE #2 TO MYRTLE AVE - BROADWAY",40.696983,-73.935547,"NYCT_4525",40.709666,-73.904596,"PUTNAM AV/FAIRVIEW AV","< 1 stop away",638,FALSE,220,455,-7.5
1,"B1","87 ST/4 Av",40.621925,-74.028496,"MANHATTAN BEACH KINGSBORO CC",40.578094,-73.94017,"NYCT_5004",40.578122,-73.941069,"ORIENTAL BL/MACKENZIE ST","approaching",77,FALSE,178,1146,11.3
0,"B38","TILLARY ST/CADMAN PZ E",40.696104,-73.990366,"LTD RIDGEWOOD CATALPA AV",40.700924,-73.904367,"NYCT_6493",40.689079,-73.981387,"FULTON ST/FLATBUSH AV EXT","at stop",13,FALSE,289,1044,0.916666666666667
0,"Bx26","W 205 ST/PAUL AV",40.876999,-73.889854,"CO-OP CITY EARHART LA via ALLERTN",40.860828,-73.82267,"NYCT_4102",40.865427,-73.867453,"ALLERTON AV/WHITE PLAINS RD","approaching",49,FALSE,214,866,-2.05
0,"Q44-SBS","MERRICK BL/ARCHER AV",40.704906,-73.793304,"SELECT BUS BRONX ZOO via MAIN ST",40.842457,-73.877121,"NYCT_5998",40.712824,-73.81708,"MAIN ST/UNION TPKE","< 1 stop away",596,FALSE,215,17,0.4
1,"B74","STILLWELL TERMINAL BUS LOOP",40.576992,-73.981415,"STILLWELL AV",40.576992,-73.98143,"NYCT_7141",40.575255,-73.999665,"W 33 ST/MERMAID AV","at stop",16,FALSE,226,676,0.1
1,"S57","RICHMOND TER/PARK AV",40.640045,-74.13063,"NEW DORP MILL RD",40.565968,-74.113136,"NYCT_4059",40.601578,-74.13127,"BRADLEY AV/HAROLD ST","at stop",5,FALSE,178,782,4.2
0,"Q59","BROADWAY/ROEBLING ST",40.709354,-73.960434,"REGO PARK 63 DR via GRAND",40.730621,-73.862946,"NYCT_7225",40.715159,-73.926822,"GARDNER AV/GRAND ST","at stop",16,FALSE,160,404,2.81666666666667
0,"B44-SBS","NOSTRAND AV/AV U",40.600949,-73.941896,"SBS FLUSHING AV via NOSTRAND via ROGERS",40.698884,-73.956915,"NYCT_5343",40.631897,-73.94757,"ROGERS AV/AV D","0.7 miles away",1143,FALSE,339,1180,1
0,"Bx11","W 179 ST/BROADWAY",40.849112,-73.93775,"W FARMS RD SOUTHERN BL",40.825272,-73.89143,"NYCT_305",40.831861,-73.889126,"JENNINGS ST/LONGFELLOW AV","< 1 stop away",189,TRUE,351,460,2.18333333333333
0,"B8","4 AV/95 ST",40.616105,-74.031146,"BROWNSVILLE ROCKAWAY AV",40.656047,-73.907383,"NYCT_367",40.61532,-73.994031,"18 AV/72 ST","at stop",7,FALSE,284,1176,-0.0166666666666667
